Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.8433,,-3.7197,10.1677,-0.764648,46.126,1
,119.844,,-1.2399,10.483,-22.4364,44.2781,1
,119.8447,,3.64676,4.72915,-14.1862,58.3505,1
,119.8453,,3.9385,2.83749,-4.42691,39.0898,1
,119.846,,0.291741,1.33993,-3.5214,-14.0013,1
,119.8467,,-1.89632,2.52221,1.36832,-37.5263,1
,119.8473,,-3.42796,1.97048,-0.462813,-16.4177,1
,119.848,,-2.4798,-7.48782,-3.19945,16.8442,1
,119.8487,,2.99035,-6.30554,13.5826,30.5612,1
,119.8493,,5.47014,25.4586,34.0268,8.88406,1
,119.85,,0.875223,63.6071,38.2927,-19.8292,1
,119.8507,,-1.53164,74.8783,38.2927,-26.2257,1
,119.8513,,-1.89632,51.3901,36.1598,-14.2856,1
,119.852,,-3.7197,-0.788192,25.4748,4.33542,1
,119.8527,,-3.42796,-54.5429,14.1862,6.46759,1
,119.8533,,-2.77154,-70.0703,-2.89761,13.1484,1
,119.854,,-4.88666,-47.528,-35.2543,86.9927,1
,119.8547,,-3.7197,-22.4635,-61.1919,145.912,1
,119.8553,,-0.948158,-8.43365,-55.6985,68.0874,1
,119.856,,-2.18806,-0.788192,-30.9884,-45.7707,1
,119.8567,,-4.30318,2.52221,-12.9789,-73.2046,1
,119.8573,,-3.06328,6.22672,-9.31663,-68.3006,1
,119.858,,0,3.15277,-8.69284,-60.0562,1
,119.8587,,2.11512,-14.2663,-0.160978,-30.2058,1
,119.8593,,1.16696,-22.7788,5.63425,-13.3616,1
,119.86,,-0.364676,-12.0593,-5.65437,11.3005,1
,119.8607,,0.875223,-4.49269,-12.3551,69.2956,1
,119.8613,,0.291741,-3.54686,2.29394,77.54,1
,119.862,,-1.89632,-1.73402,11.1276,23.525,1
,119.8627,,-1.2399,-7.8031,2.59578,8.59977,1
,119.8633,,0,-12.6899,4.72874,34.1858,1
,119.864,,-1.89632,-6.62081,12.3551,9.52371,1
,119.8647,,-2.18806,-9.61594,-0.462813,-60.0562,1
,119.8653,,-0.656417,-18.2072,-13.2807,-82.373,1
,119.866,,-1.89632,-4.49269,-6.55987,-38.7345,1
,119.8667,,-4.30318,11.7441,1.97199,-2.13217,1
,119.8673,,-4.59492,3.46805,0.462813,-1.77681,1
,119.868,,-3.7197,-4.49269,-1.99211,-2.41646,1
,119.8687,,-0.364676,5.28089,-3.5214,2.20325,1
,119.8693,,2.6986,10.1677,-4.12507,-0.28429,1
,119.87,,0.875223,4.72915,-1.36832,1.2793,1
,119.8707,,-2.4798,2.83749,-3.82324,5.54365,1
,119.8713,,-3.42796,1.97048,-9.61846,3.41148,1
,119.872,,-4.30318,-0.788192,-1.99211,5.82794,1
,119.8727,,-4.88666,0.394096,19.6796,10.7319,1
,119.8733,,-3.06328,1.33993,27.0041,5.54365,1
,119.874,,-0.364676,-10.8771,14.1862,1.84788,1
,119.8747,,0.875223,-34.3652,0.140856,4.904,1
,119.8753,,-0.656417,-40.5131,-19.0759,3.05612,1
,119.876,,-3.42796,-11.8229,-42.277,-2.41646,1
,119.8767,,-3.42796,22.0694,-28.5334,-6.68081,1
,119.8773,,-2.4798,29.3996,19.6796,-12.793,1
,119.878,,-3.42796,16.6309,36.4616,-8.17333,1
